Continente;País;Ano_1965;Ano_1966;Ano_1967;Ano_1968;Ano_1969;Ano_1970;Ano_1971;Ano_1972;Ano_1973;Ano_1974;Ano_1975;Ano_1976;Ano_1977;Ano_1978;Ano_1979;Ano_1980;Ano_1981;Ano_1982;Ano_1983;Ano_1984;Ano_1985;Ano_1986;Ano_1987;Ano_1988;Ano_1989;Ano_1990;Ano_1991;Ano_1992;Ano_1993;Ano_1994;Ano_1995;Ano_1996;Ano_1997;Ano_1998;Ano_1999;Ano_2000;Ano_2001;Ano_2002;Ano_2003;Ano_2004;Ano_2005;Ano_2006;Ano_2007;Ano_2008;Ano_2009;Ano_2010;Ano_2011;Ano_2012;Ano_2013;Ano_2014;Ano_2015
América do Norte;US;1286,5;1359,8;1406,8;1492,3;1573,0;1626,7;1659,0;1741,6;1810,7;1763,8;1716,4;1808,3;1853,2;1851,8;1877,5;1811,6;1759,5;1682,7;1671,5;1760,9;1755,4;1761,5;1822,3;1906,4;1960,7;1967,3;1965,0;1996,6;2038,6;2076,1;2120,7;2191,3;2208,7;2222,8;2260,4;2312,4;2258,4;2292,9;2301,0;2347,8;2350,2;2333,1;2371,8;2320,3;2206,1;2285,3;2266,0;2210,4;2271,7;2300,5;2280,6
América do Norte;Canada;116,3;123,5;129,6;138,4;146,2;156,6;161,0;172,2;182,8;189,1;187,0;197,4;207,1;210,6;212,9;218,0;212,0;215,1;213,3;227,3;234,4;234,7;242,7;253,1;256,2;251,4;251,8;258,3;264,2;274,0;280,6;290,7;292,3;286,3;294,1;303,1;296,8;305,1;312,4;315,5;323,9;321,1;326,9;327,4;311,6;316,4;328,7;326,6;335,0;335,5;329,9
América do Norte;Mexico;24,4;25,7;26,0;28,4;31,3;33,3;34,9;38,4;41,3;46,0;49,6;52,9;55,8;63,4;70,4;76,5;84,3;88,2;87,3;91,9;95,8;92,4;95,5;96,0;100,8;106,3;110,8;112,7;113,6;121,3;117,6;122,7;127,4;134,4;135,9;142,2;141,7;145,9;153,0;155,8;167,7;172,9;170,8;174,3;174,1;178,1;186,4;188,5;188,9;190,0;185,0
América do Sul;Argentina;26,9;28,0;28,7;29,6;30,7;28,9;30,6;31,3;32,6;34,1;33,3;35,2;36,6;37,4;39,4;39,5;38,0;39,1;40,9;40,8;39,7;44,1;46,0;47,2;45,2;44,7;45,0;48,3;50,3;51,5;53,7;57,6;57,1;59,0;57,8;60,1;59,5;56,8;61,3;64,8;69,0;72,5;75,6;76,8;74,8;79,6;81,5;83,6;85,5;86,3;87,8
América do Sul;Brazil;22,0;24,0;24,9;28,5;31,1;36,6;40,1;46,1;55,0;60,1;63,5;69,7;74,6;82,3;89,1;90,9;88,4;92,8;94,6;101,7;108,4;115,8;119,3;123,8;126,3;123,9;128,7;135,0;140,9;148,1;155,5;164,2;173,3;179,6;182,6;185,9;182,6;187,2;191,1;200,9;207,5;213,3;227,0;237,7;236,3;260,8;273,8;279,3;290,0;297,6;292,8
América do Sul;Chile;6,1;6,6;6,7;6,6;7,2;7,5;8,1;8,3;8,0;7,9;7,1;7,5;7,7;8,2;8,5;8,7;9,0;8,2;8,4;8,8;8,9;9,3;9,7;10,8;12,1;13,0;14,3;15,8;16,7;17,5;18,9;20,1;22,9;23,0;23,9;25,2;25,8;26,7;26,5;27,5;28,7;31,3;31,6;31,5;31,2;30,6;33,6;34,0;34,4;34,7;34,9
América do Sul;Colombia;7,5;8,2;8,7;9,2;9,3;10,1;10,0;11,2;11,1;12,4;12,7;13,2;13,6;14,6;15,6;15,9;16,3;17,0;17,8;18,3;19,1;19,7;21,4;21,5;22,4;20,9;21,6;22,7;25,0;26,7;27,1;27,8;28,7;28,3;26,0;26,0;25,7;25,6;26,5;27,1;27,2;31,1;31,1;34,9;32,5;34,9;36,3;38,9;38,9;40,9;42,5
América do Sul;Ecuador;0,7;0,8;0,8;1,0;1,1;1,3;1,4;1,6;1,5;1,8;1,8;2,0;2,4;2,5;2,6;3,3;3,6;4,0;4,0;4,5;5,0;5,2;5,5;5,3;5,5;5,5;6,2;6,0;6,4;7,0;6,6;7,4;8,3;8,4;7,9;8,3;8,2;8,6;8,9;9,2;9,7;10,3;10,9;11,6;11,5;12,7;13,5;14,3;14,7;15,3;15,4
América do Sul;Peru;4,6;5,6;5,7;5,8;5,8;6,1;6,3;5,6;6,4;7,3;7,8;7,9;8,0;8,0;8,3;8,9;9,3;9,3;8,1;8,6;8,4;9,0;9,8;9,6;8,8;8,7;8,6;8,4;9,2;10,0;10,9;11,2;11,0;11,4;11,6;12,0;11,9;12,2;12,1;13,0;13,6;13,8;15,1;16,4;16,7;19,1;20,9;21,7;22,3;22,9;24,1
América do Sul;Trinidad & Tobago;3,0;3,1;3,4;3,5;3,6;3,8;3,9;5,4;5,3;5,2;4,1;4,7;4,9;4,9;4,3;4,1;4,3;5,1;5,0;4,9;5,1;5,3;5,0;5,4;5,4;6,0;6,3;6,7;7,0;7,5;8,1;9,2;9,2;9,4;10,4;10,1;11,3;12,0;13,1;14,4;15,9;20,5;21,4;21,0;21,7;22,7;22,7;21,6;21,9;21,5;21,2
América do Sul;Venezuela;16,0;16,1;16,9;18,3;18,5;18,6;18,9;20,0;22,8;23,5;24,5;26,6;29,7;30,3;33,4;37,5;39,0;39,7;39,5;40,2;41,3;44,4;44,2;45,9;46,4;49,2;49,3;53,6;52,8;57,5;59,0;57,1;60,4;64,3;62,2;63,4;67,4;67,2;60,5;67,5;70,4;78,5;81,2;84,4;82,9;80,7;80,3;84,1;84,7;81,2;80,5
América do Sul;Other S. & Cent. America;21,4;22,7;23,7;24,3;25,9;27,8;36,9;38,7;41,5;41,1;40,6;42,2;43,6;45,6;47,6;53,4;53,8;49,1;48,2;49,1;46,8;49,4;52,8;52,5;56,4;57,4;57,7;57,3;59,4;63,3;66,5;69,2;74,8;78,3;80,1;81,3;82,8;84,4;88,7;89,3;89,1;91,1;92,3;91,1;90,3;92,7;95,4;96,2;96,1;97,8;100,0
Europa;Austria;15,9;16,6;16,8;18,0;18,7;21,4;21,4;22,1;23,8;23,9;23,7;24,7;24,6;25,7;27,2;27,0;26,2;25,3;25,2;25,2;26,4;26,4;27,9;27,4;27,5;28,1;29,5;28,9;29,4;29,2;30,7;30,9;31,5;32,0;32,6;32,6;34,0;34,1;34,7;35,3;36,1;35,9;35,0;35,7;34,6;35,9;33,8;35,4;35,1;33,9;34,1
Europa;Belgium;35,2;33,9;35,6;39,7;43,5;46,0;45,1;47,9;48,6;46,9;43,9;46,5;46,6;48,6;50,1;47,9;45,6;43,5;42,0;43,9;45,7;47,1;48,5;49,4;49,8;52,4;54,3;54,5;53,4;56,0;56,5;60,2;61,1;62,4;61,8;63,5;62,3;62,5;65,1;65,2;64,8;64,5;64,9;66,6;61,6;66,0;61,3;58,6;60,0;55,9;56,5
Europa;Bulgaria;10,2;10,9;12,7;14,3;15,9;17,9;18,5;19,1;19,8;20,4;22,5;23,8;25,1;26,0;27,0;28,5;28,0;28,7;28,8;28,7;28,5;29,1;29,3;30,0;30,3;24,6;20,1;18,5;20,0;19,5;21,4;21,4;20,4;19,6;17,5;18,1;18,6;18,1;19,2;18,9;19,7;20,1;19,6;19,5;17,1;17,8;19,1;18,1;16,7;17,9;18,9
Europa;Czech Republic;40,1;40,4;39,8;41,5;43,3;45,2;47,5;47,8;48,0;48,5;50,5;51,9;53,8;54,6;55,3;53,9;53,3;52,6;52,3;53,9;53,5;54,1;55,3;55,5;53,7;47,9;44,3;40,9;40,0;38,9;40,5;41,9;42,1;40,6;37,9;40,7;41,5;41,7;43,9;44,5;44,2;45,1;44,9;43,6;41,2;42,8;42,1;41,7;40,9;40,1;39,6
Europa;Denmark;14,1;16,1;16,1;16,9;19,4;20,6;19,5;20,6;19,9;18,1;17,8;19,6;20,0;20,3;20,2;19,7;17,7;17,0;16,1;16,4;18,5;18,9;18,2;18,0;16,6;17,1;19,8;18,5;19,6;21,1;20,7;24,7;22,4;21,5;20,8;20,0;20,1;19,9;21,5;20,3;19,6;21,7;20,5;19,8;18,6;19,5;18,5;17,1;18,0;17,5;16,9
Europa;Finland;9,6;10,9;11,4;12,5;13,8;15,0;15,4;16,3;18,0;17,2;17,5;18,6;19,5;20,3;21,9;21,8;21,8;21,5;21,3;22,2;23,4;23,7;24,9;24,6;24,7;25,8;26,2;25,9;26,2;27,7;26,9;28,4;28,4;29,0;28,9;28,9;29,8;30,1;32,5;32,2;29,3;31,4;31,4;30,4;28,4;30,9;28,6;27,6;27,2;26,3;25,9
Europa;France;110,4;112,8;120,3;126,8;139,9;151,6;157,7;168,6;183,2;179,8;169,0;180,4;181,9;189,8;195,8;192,5;189,8;182,6;186,8;193,0;198,1;202,7;206,6;207,9;212,1;217,4;231,7;233,2;233,2;230,3;235,9;244,6;241,3;247,1;251,9;254,8;258,6;256,6;259,4;262,9;262,4;261,1;257,4;259,1;245,2;253,2;244,5;244,7;247,4;237,5;239,0
Europa;Germany;253,4;253,8;252,9;270,1;291,3;307,2;309,5;320,4;338,7;332,7;319,3;340,7;339,9;351,3;370,9;358,5;347,1;334,5;339,2;351,3;361,3;358,3;361,0;361,8;358,2;352,4;343,3;335,9;334,3;331,4;333,2;344,9;339,0;336,3;331,4;332,9;339,8;335,8;335,9;335,9;332,3;341,3;327,2;330,7;310,2;323,7;312,3;316,7;325,8;311,9;320,6
